Date,CPI,Goods,Services,CPI excl energy food alcohol and tobacco
Nov 2015,0.1,-1.9,2.4,1.2
Dec 2015,0.2,-2.1,2.9,1.4
Jan 2016,0.3,-1.5,2.3,1.2
Feb 2016,0.3,-1.6,2.4,1.2
Mar 2016,0.5,-1.6,2.8,1.5
Apr 2016,0.3,-1.6,2.4,1.2
May 2016,0.3,-1.8,2.6,1.2
Jun 2016,0.5,-1.6,2.8,1.4
Jul 2016,0.6,-1.4,2.7,1.3
Aug 2016,0.6,-1.4,2.8,1.3
Sep 2016,1.0,-0.5,2.6,1.5
Oct 2016,0.9,-0.4,2.4,1.2
Nov 2016,1.2,0.2,2.2,1.4
Dec 2016,1.6,0.7,2.5,1.6
Jan 2017,1.8,1.1,2.6,1.6
Feb 2017,2.3,1.9,2.8,2.0
Mar 2017,2.3,2.5,2.1,1.8
Apr 2017,2.7,2.4,3.0,2.4
May 2017,2.9,2.9,2.8,2.6
Jun 2017,2.6,2.6,2.7,2.4
Jul 2017,2.6,2.7,2.6,2.4
Aug 2017,2.9,3.1,2.7,2.7
Sep 2017,3.0,3.2,2.7,2.7
Oct 2017,3.0,3.3,2.7,2.7
Nov 2017,3.1,3.3,2.8,2.7
Dec 2017,3.0,3.4,2.5,2.5
Jan 2018,3.0,3.2,2.8,2.7
Feb 2018,2.7,3.0,2.4,2.4
Mar 2018,2.5,2.4,2.5,2.3
Apr 2018,2.4,2.6,2.1,2.1
May 2018,2.4,2.5,2.3,2.1
Jun 2018,2.4,2.6,2.3,1.9
Jul 2018,2.5,2.6,2.3,1.9
Aug 2018,2.7,2.8,2.5,2.1
Sep 2018,2.4,2.5,2.3,1.9
Oct 2018,2.4,2.3,2.5,1.9
Nov 2018,2.3,2.1,2.5,1.8
Dec 2018,2.1,1.8,2.4,1.9
Jan 2019,1.8,1.3,2.5,1.9
Feb 2019,1.9,1.3,2.5,1.8
Mar 2019,1.9,1.3,2.5,1.8
Apr 2019,2.1,1.4,2.9,1.8
May 2019,2.0,1.5,2.6,1.7
Jun 2019,2.0,1.5,2.5,1.8
Jul 2019,2.1,1.7,2.5,1.9
Aug 2019,1.7,1.3,2.2,1.5
Sep 2019,1.7,1,2.5,1.7
Oct 2019,1.5,0.5,2.6,1.7
Nov 2019,1.5,0.6,2.5,1.7
Dec 2019,1.3,0.6,2.1,1.4
Jan 2020,1.8,1.3,2.3,1.6
Feb 2020,1.7,1,2.5,1.7
Mar 2020,1.5,0.6,2.5,1.6
Apr 2020,0.8,-0.4,2.0,1.4
May 2020,0.5,-0.9,1.9,1.2
Jun 2020,0.6,-0.5,1.8,1.4
Jul 2020,1.0,0.0,2.1,1.8
Aug 2020,0.2,-0.2,0.6,0.9
Sep 2020,0.5,-0.3,1.4,1.3
Oct 2020,0.7,0.0,1.4,1.5
Nov 2020,0.3,-0.8,1.4,1.1
Dec 2020,0.6,-0.3,1.5,1.4
Jan 2021,0.7,-0.2,1.7,1.4
Feb 2021,0.4,-0.5,1.5,0.9
Mar 2021,0.7,0.0,1.5,1.1
Apr 2021,1.5,1.5,1.6,1.3
May 2021,2.1,2.3,1.9,2
Jun 2021,2.5,2.8,2.1,2.3
Jul 2021,2.0,2.5,1.6,1.8
Aug 2021,3.2,3.3,3.0,3.1
Sep 2021,3.1,3.4,2.6,2.9
Oct 2021,4.2,4.9,3.2,3.4
Nov 2021,5.1,6.5,3.3,4
Dec 2021,5.4,6.9,3.4,4.2
Jan 2022,5.5,7.2,3.2,4.4
Feb 2022,6.2,8.3,3.5,5.2
Mar 2022,7.0,9.4,4.0,5.7
Apr 2022,9.0,12.4,4.7,6.2
May 2022,9.1,12.4,4.9,5.9
Jun 2022,9.4,12.7,5.2,5.8
Jul 2022,10.1,13.5,5.7,6.2
Aug 2022,9.9,12.9,5.9,6.3
Sep 2022,10.1,13.2,6.1,6.5
Oct 2022,11.1,14.8,6.3,6.5
Nov 2022,10.7,14.0,6.3,6.3
Dec 2022,10.5,13.4,6.8,6.3
Jan 2023,10.1,13.3,6.0,5.8
Feb 2023,10.4,13.4,6.6,6.2
Mar 2023,10.1,12.8,6.6,6.2
Apr 2023,8.7,10.0,6.9,6.8
May 2023,8.7,9.7,7.4,7.1
Jun 2023,7.9,8.5,7.2,6.9
Jul 2023,6.8,6.1,7.4,6.9
Aug 2023,6.7,6.3,6.8,6.2
Sep 2023,6.7,6.2,6.9,6.1
Oct 2023,4.6,2.9,6.6,5.7
Nov 2023,3.9,2.0,6.3,5.1
Dec 2023,4.0,1.9,6.4,5.1
Jan 2024,4.0,1.8,6.5,5.1
Feb 2024,3.4,1.1,6.1,4.5
Mar 2024,3.2,0.8,6.0,4.2
Apr 2024,2.3,-0.8,5.9,3.9
May 2024,2.0,-1.3,5.7,3.5
Jun 2024,2.0,-1.4,5.7,3.5
Jul 2024,2.2,-0.6,5.2,3.3
Aug 2024,2.2,-0.9,5.6,3.6
Sep 2024,1.7,-1.4,4.9,3.2
Oct 2024,2.3,-0.3,5.0,3.3
Nov 2024,2.6,0.4,5.0,3.5
Dec 2024,2.5,0.7,4.4,3.2
Jan 2025,3.0,1.0,5.0,3.7
Feb 2025,2.8,0.8,5.0,3.5
Mar 2025,2.6,0.6,4.7,3.4
Apr 2025,3.5,1.7,5.4,3.8
May 2025,3.4,2.0,4.7,3.5
Jun 2025,3.6,2.4,4.7,3.7
Jul 2025,3.8,2.7,5.0,3.8
Aug 2025,3.8,2.8,4.7,3.6
Sep 2025,3.8,2.9,4.7,3.5
Oct 2025,3.6,2.6,4.5,3.4
Nov 2025,3.2,2.1,4.4,3.2
