Entity,Code,Year,Renewables (% equivalent primary energy)
United Kingdom,GBR,1965,0.5535167
United Kingdom,GBR,1966,0.54182374
United Kingdom,GBR,1967,0.5833941
United Kingdom,GBR,1968,0.42914325
United Kingdom,GBR,1969,0.36229846
United Kingdom,GBR,1970,0.49437425
United Kingdom,GBR,1971,0.37453812
United Kingdom,GBR,1972,0.36911714
United Kingdom,GBR,1973,0.40008327
United Kingdom,GBR,1974,0.44689173
United Kingdom,GBR,1975,0.44686642
United Kingdom,GBR,1976,0.5175843
United Kingdom,GBR,1977,0.44290325
United Kingdom,GBR,1978,0.453378
United Kingdom,GBR,1979,0.45778906
United Kingdom,GBR,1980,0.46183282
United Kingdom,GBR,1981,0.53089535
United Kingdom,GBR,1982,0.55221266
United Kingdom,GBR,1983,0.5500709
United Kingdom,GBR,1984,0.55049014
United Kingdom,GBR,1985,0.46039397
United Kingdom,GBR,1986,0.5401491
United Kingdom,GBR,1987,0.4749098
United Kingdom,GBR,1988,0.5469982
United Kingdom,GBR,1989,0.53432673
United Kingdom,GBR,1990,0.64315045
United Kingdom,GBR,1991,0.5779747
United Kingdom,GBR,1992,0.70368606
United Kingdom,GBR,1993,0.63459617
United Kingdom,GBR,1994,0.7848496
United Kingdom,GBR,1995,0.75174713
United Kingdom,GBR,1996,0.61532766
United Kingdom,GBR,1997,0.78752273
United Kingdom,GBR,1998,0.9433471
United Kingdom,GBR,1999,1.0599864
United Kingdom,GBR,2000,1.0869671
United Kingdom,GBR,2001,1.0432147
United Kingdom,GBR,2002,1.2373027
United Kingdom,GBR,2003,1.194247
United Kingdom,GBR,2004,1.5487816
United Kingdom,GBR,2005,1.8603446
United Kingdom,GBR,2006,2.0468767
United Kingdom,GBR,2007,2.3372478
United Kingdom,GBR,2008,2.8096128
United Kingdom,GBR,2009,2.988894
United Kingdom,GBR,2010,3.0432706
United Kingdom,GBR,2011,4.2681527
United Kingdom,GBR,2012,4.868681
United Kingdom,GBR,2013,6.6554303
United Kingdom,GBR,2014,8.505534
United Kingdom,GBR,2015,10.561546
United Kingdom,GBR,2016,10.659087
United Kingdom,GBR,2017,12.440468
United Kingdom,GBR,2018,13.98007
United Kingdom,GBR,2019,15.684401
United Kingdom,GBR,2020,19.068272
United Kingdom,GBR,2021,17.482069
United Kingdom,GBR,2022,19.072384
United Kingdom,GBR,2023,19.976458
United Kingdom,GBR,2024,21.292688