Entity,Code,Year,Bioenergy levelized cost of energy,Geothermal levelized cost of energy,Offshore wind levelized cost of energy,Solar photovoltaic levelized cost of energy,Concentrated solar power levelized cost of energy,Hydropower levelized cost of energy,Onshore wind levelized cost of energy
United Kingdom,GBR,1989,,,,,,,0.23138686
United Kingdom,GBR,1990,,,,,,,0.2326188
United Kingdom,GBR,1991,,,,,,,0.22008501
United Kingdom,GBR,1992,,,,,,,0.23651601
United Kingdom,GBR,1993,,,,,,,0.2166076
United Kingdom,GBR,1994,,,,,,,0.2184799
United Kingdom,GBR,1995,,,,,,,0.20638318
United Kingdom,GBR,1996,,,,,,,0.21148618
United Kingdom,GBR,1997,,,,,,,0.196544
United Kingdom,GBR,1998,,,,,,,0.1943806
United Kingdom,GBR,1999,,,,,,,0.18559659
United Kingdom,GBR,2000,,,,,,,0.12705764
United Kingdom,GBR,2001,,,,,,,0.14427601
United Kingdom,GBR,2002,,,,,,,0.15023431
United Kingdom,GBR,2003,,,,,,,0.15050276
United Kingdom,GBR,2004,,,,,,,0.15853566
United Kingdom,GBR,2005,,,,,,,0.14942473
United Kingdom,GBR,2006,,,,,,,0.14991733
United Kingdom,GBR,2007,,,,,,,0.14223565
United Kingdom,GBR,2008,,,,,,,0.15657435
United Kingdom,GBR,2009,,,,,,,0.085937925
United Kingdom,GBR,2010,,,,0.6133668,,,0.113102175
United Kingdom,GBR,2011,,,,0.56511503,,,0.11615559
United Kingdom,GBR,2012,,,,0.33122855,,,0.10347138
United Kingdom,GBR,2013,,,,0.2673939,,,0.10293238
United Kingdom,GBR,2014,,,,0.21822445,,,0.09714515
United Kingdom,GBR,2015,,,,0.1693636,,,0.08861425
United Kingdom,GBR,2016,,,,0.16012026,,,0.07644195
United Kingdom,GBR,2017,,,,0.13087225,,,0.07260965
United Kingdom,GBR,2018,,,,0.13296494,,,0.05065709
United Kingdom,GBR,2019,,,,0.09863811,,,0.06184133
United Kingdom,GBR,2020,,,,0.083338216,,,0.049950384
United Kingdom,GBR,2021,,,,0.07659803,,,0.046096478
United Kingdom,GBR,2022,,,,0.080377854,,,0.03620496
United Kingdom,GBR,2023,,,,0.08173553,,,0.031916693
United Kingdom,GBR,2024,,,,,,,0.045931824